timestamp,cpu_percent,memory_percent
1745233599,0.5,29.3
1745233600,0.8,29.3
1745233601,0.6,29.3
1745233602,0.5,29.3
1745233603,1.1,29.3
1745233604,0.5,29.3
1745233605,0.8,29.3
1745233606,0.8,29.3
1745233607,0.8,29.3
1745233608,0.9,29.3
1745233609,0.5,29.3
1745233610,0.9,29.3
1745233611,0.6,29.3
1745233612,0.6,29.3
1745233613,0.6,29.3
1745233614,0.5,29.3
1745233615,0.5,29.3
1745233616,0.5,29.3
1745233617,0.7,29.3
1745233618,0.8,29.3
1745233619,0.9,29.3
1745233620,0.5,29.3
1745233621,0.5,29.3
1745233622,0.8,29.3
1745233623,0.9,29.3
1745233624,0.9,29.3
1745233625,0.8,29.3
1745233626,0.6,29.3
1745233627,0.8,29.3
1745233628,4.4,29.3
